epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.62985,1.54493,2.41541,1.51001,0.00361,0.25526,0.04019,0.01289,2.00271,4.08771,2.01055,0.0676471,0.000326797,0.000326797
2,16.2761,1.63741,1.75979,1.55521,0.14185,0.20526,0.08572,0.03766,1.83583,2.95964,1.86986,0.0346449,0.000657952,0.000657952
3,22.894,1.54993,1.67048,1.53821,0.4178,0.29474,0.25284,0.13888,1.7115,3.32347,1.83211,0.0016405,0.000986907,0.000986907
4,29.4363,1.56322,1.61127,1.53326,0.67831,0.39079,0.41765,0.25228,1.64452,1.94452,1.66357,0.0009901,0.0009901,0.0009901
5,35.9162,1.55346,1.58781,1.51646,0.67513,0.42763,0.47434,0.28689,1.48531,1.55951,1.5221,0.0009868,0.0009868,0.0009868
6,42.3579,1.52639,1.56998,1.50691,0.64812,0.36447,0.40194,0.24259,1.56126,2.75756,1.58176,0.0009835,0.0009835,0.0009835
7,48.8017,1.52035,1.48558,1.50439,0.63608,0.37027,0.40936,0.23772,1.62042,2.19445,1.73957,0.0009802,0.0009802,0.0009802
8,55.2029,1.49099,1.45478,1.49057,0.69356,0.42288,0.50049,0.28512,1.57646,1.52254,1.65667,0.0009769,0.0009769,0.0009769
9,61.6338,1.45319,1.40651,1.47429,0.74684,0.48816,0.56865,0.32961,1.46219,1.25845,1.53417,0.0009736,0.0009736,0.0009736
10,68.0887,1.45115,1.40559,1.50206,0.61083,0.45229,0.48908,0.28303,1.48449,1.67489,1.51014,0.0009703,0.0009703,0.0009703
11,74.5408,1.44748,1.37572,1.46263,0.62599,0.4713,0.50707,0.29788,1.50782,1.49233,1.52153,0.000967,0.000967,0.000967
12,80.9741,1.38415,1.31364,1.43226,0.69861,0.42763,0.50316,0.29972,1.41421,1.52329,1.46544,0.0009637,0.0009637,0.0009637
13,87.4166,1.39875,1.2962,1.41995,0.68979,0.42763,0.51713,0.3156,1.48204,1.31359,1.55753,0.0009604,0.0009604,0.0009604
14,93.8189,1.37748,1.27229,1.41343,0.68057,0.48684,0.56463,0.33189,1.48215,1.24938,1.52007,0.0009571,0.0009571,0.0009571
