epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8866,1.62899,2.32271,1.66903,0.7259,0.17105,0.20171,0.13188,2.10587,3.30211,2.57789,0.0676471,0.000326797,0.000326797
2,45.9451,1.75815,1.86912,1.78372,0.01204,0.46579,0.00756,0.00349,2.0641,inf,3.33193,0.0346449,0.000657952,0.000657952
3,60.6588,1.70527,1.8326,1.75867,0.0298,0.26579,0.01411,0.00703,2.1912,52.3437,2.88615,0.0016405,0.000986907,0.000986907
4,74.993,1.70761,1.80807,1.78152,0.01566,0.28158,0.00766,0.00349,2.14053,inf,3.0975,0.0009901,0.0009901,0.0009901
5,89.9096,1.67902,1.81156,1.74584,0.52899,0.30789,0.30903,0.18881,2.02202,11.1456,2.43694,0.0009868,0.0009868,0.0009868
6,104.669,1.6409,1.74735,1.75388,0.52041,0.32895,0.32402,0.19839,1.8056,4.75774,2.08022,0.0009835,0.0009835,0.0009835
7,119.757,1.55854,1.64786,1.66114,0.57887,0.34605,0.3672,0.20952,1.80277,2.53324,1.9596,0.0009802,0.0009802,0.0009802
8,134.225,1.6143,1.66614,1.7054,0.48505,0.31447,0.31301,0.17857,1.81061,3.08951,1.93424,0.0009769,0.0009769,0.0009769
9,148.421,1.51883,1.5501,1.61701,0.37636,0.18158,0.18062,0.11824,1.78232,2.67856,1.91203,0.0009736,0.0009736,0.0009736
10,162.506,1.52616,1.54802,1.63425,0.62483,0.39737,0.47581,0.28113,1.61974,1.65396,1.75036,0.0009703,0.0009703,0.0009703
11,176.899,1.49446,1.53017,1.60533,0.69543,0.36184,0.42506,0.26765,1.65884,1.93827,1.83488,0.000967,0.000967,0.000967
12,190.887,1.40788,1.41767,1.55983,0.63222,0.39868,0.45674,0.25759,1.65579,1.62065,1.75512,0.0009637,0.0009637,0.0009637
13,204.961,1.45952,1.46067,1.58871,0.71727,0.41974,0.49664,0.29946,1.63068,1.76091,1.82648,0.0009604,0.0009604,0.0009604
14,219.192,1.41577,1.45106,1.55531,0.74867,0.4,0.47072,0.28963,1.6298,1.74356,1.78963,0.0009571,0.0009571,0.0009571
15,233.328,1.42863,1.41278,1.55915,0.64168,0.42105,0.48933,0.28996,1.54472,1.408,1.67194,0.0009538,0.0009538,0.0009538
16,247.411,1.41461,1.38892,1.53456,0.73196,0.42237,0.51326,0.30615,1.53835,1.42631,1.69102,0.0009505,0.0009505,0.0009505
17,261.555,1.39725,1.38005,1.53225,0.73276,0.41711,0.46542,0.27799,1.62444,1.54531,1.73071,0.0009472,0.0009472,0.0009472
18,275.604,1.428,1.4131,1.57753,0.80069,0.38158,0.479,0.28922,1.55856,1.68106,1.70573,0.0009439,0.0009439,0.0009439
19,289.759,1.32993,1.27048,1.45335,0.65925,0.52187,0.58386,0.3411,1.48201,1.46524,1.62861,0.0009406,0.0009406,0.0009406
20,304.472,1.36305,1.35056,1.51547,0.64877,0.45263,0.50343,0.28854,1.53407,1.61603,1.67986,0.0009373,0.0009373,0.0009373
21,319.593,1.33531,1.2867,1.49267,0.68893,0.49079,0.57874,0.33837,1.52703,1.2242,1.6303,0.000934,0.000934,0.000934
22,333.816,1.35775,1.28257,1.49352,0.71289,0.45086,0.54445,0.33493,1.47527,1.26493,1.62265,0.0009307,0.0009307,0.0009307
23,348.285,1.32652,1.24527,1.46879,0.75913,0.45616,0.54693,0.33643,1.50639,1.35459,1.64126,0.0009274,0.0009274,0.0009274
24,362.526,1.32253,1.27323,1.46749,0.73583,0.45921,0.52865,0.32118,1.4818,1.27224,1.62603,0.0009241,0.0009241,0.0009241
25,377.771,1.3251,1.24432,1.47462,0.675,0.43816,0.51807,0.30419,1.41692,1.77798,1.60472,0.0009208,0.0009208,0.0009208
26,392.708,1.30642,1.20853,1.46355,0.73227,0.53026,0.62055,0.36804,1.45431,1.28382,1.59698,0.0009175,0.0009175,0.0009175
27,407.09,1.30112,1.22387,1.46991,0.75382,0.45658,0.56953,0.34124,1.50696,1.16314,1.64146,0.0009142,0.0009142,0.0009142
28,421.31,1.29656,1.18952,1.45733,0.69297,0.43158,0.52535,0.3252,1.48878,1.36628,1.62796,0.0009109,0.0009109,0.0009109
29,436.011,1.27509,1.16352,1.42749,0.71339,0.48421,0.55123,0.34811,1.45202,1.22904,1.62112,0.0009076,0.0009076,0.0009076
30,450.658,1.2858,1.17714,1.44984,0.73573,0.52382,0.60371,0.37346,1.45089,1.13037,1.62813,0.0009043,0.0009043,0.0009043
31,465.459,1.28386,1.17826,1.45645,0.6941,0.55395,0.61621,0.36682,1.40045,1.11238,1.56869,0.000901,0.000901,0.000901
32,479.481,1.29244,1.1944,1.45512,0.70599,0.52632,0.60602,0.37234,1.3943,1.1704,1.57547,0.0008977,0.0008977,0.0008977
33,493.677,1.25983,1.16748,1.44464,0.74189,0.53158,0.62126,0.37163,1.41719,1.09355,1.55926,0.0008944,0.0008944,0.0008944
