epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3233,1.6197,2.58865,1.58882,0.00591,0.32632,0.04958,0.02613,2.15513,3.80469,1.99034,0.0676471,0.000326797,0.000326797
2,33.7163,1.56375,1.71758,1.51796,0.509,0.33553,0.28193,0.155,1.82975,2.04413,1.7737,0.0346449,0.000657952,0.000657952
3,40.4203,1.54289,1.66063,1.52806,0.58229,0.37632,0.38146,0.19984,1.75731,2.68367,1.74469,0.0016405,0.000986907,0.000986907
4,47.0376,1.56132,1.63248,1.55703,0.34913,0.32895,0.22181,0.10487,1.74901,4.48592,1.74204,0.0009901,0.0009901,0.0009901
5,53.9171,1.53517,1.58107,1.51592,0.58409,0.39079,0.42618,0.23197,1.69188,2.37284,1.7008,0.0009868,0.0009868,0.0009868
6,61.2937,1.55246,1.5671,1.55039,0.69638,0.39836,0.46127,0.27091,1.71611,1.99391,1.72062,0.0009835,0.0009835,0.0009835
7,67.7325,1.45768,1.46337,1.47432,0.67219,0.40658,0.45716,0.25782,1.67455,1.66438,1.72856,0.0009802,0.0009802,0.0009802
8,74.5022,1.5227,1.48712,1.50983,0.66747,0.47105,0.53586,0.30378,1.62616,1.43492,1.59546,0.0009769,0.0009769,0.0009769
9,81.6638,1.42178,1.35763,1.44529,0.62909,0.44868,0.51629,0.25304,1.79534,1.5214,1.74527,0.0009736,0.0009736,0.0009736
10,88.6459,1.403,1.34907,1.4498,0.69711,0.49968,0.56435,0.31916,1.55085,1.40771,1.54706,0.0009703,0.0009703,0.0009703
11,95.3495,1.42005,1.35406,1.45124,0.67194,0.48421,0.54316,0.32312,1.47422,1.34214,1.53088,0.000967,0.000967,0.000967
12,102.387,1.38311,1.31137,1.4221,0.70985,0.51053,0.58221,0.34554,1.48694,1.30386,1.50681,0.0009637,0.0009637,0.0009637
13,109.058,1.39606,1.31425,1.42868,0.72494,0.49474,0.57282,0.34683,1.45946,1.24467,1.47576,0.0009604,0.0009604,0.0009604
14,116.184,1.35587,1.27821,1.42263,0.69769,0.46974,0.55759,0.32024,1.51839,1.30989,1.5492,0.0009571,0.0009571,0.0009571
15,122.654,1.37981,1.25228,1.42822,0.79106,0.5181,0.59998,0.36016,1.43077,1.20932,1.47665,0.0009538,0.0009538,0.0009538
16,128.999,1.35594,1.24249,1.40359,0.76962,0.49474,0.57634,0.34343,1.44635,1.25642,1.50151,0.0009505,0.0009505,0.0009505
17,136.221,1.32666,1.20153,1.39798,0.79424,0.49776,0.59658,0.351,1.49622,1.26694,1.51658,0.0009472,0.0009472,0.0009472
18,143.745,1.34681,1.24783,1.4059,0.73101,0.54709,0.62685,0.36463,1.46095,1.21076,1.50452,0.0009439,0.0009439,0.0009439
19,151.016,1.29932,1.15107,1.33465,0.73109,0.53301,0.61856,0.37931,1.40616,1.15111,1.43642,0.0009406,0.0009406,0.0009406
20,158.292,1.32444,1.20107,1.39558,0.74756,0.52368,0.60675,0.35503,1.45282,1.27841,1.5258,0.0009373,0.0009373,0.0009373
21,164.906,1.28043,1.1744,1.36736,0.74201,0.56447,0.64717,0.37749,1.43236,1.08859,1.45698,0.000934,0.000934,0.000934
22,172.193,1.33256,1.17181,1.37256,0.76032,0.48684,0.57654,0.3397,1.47407,1.30824,1.52957,0.0009307,0.0009307,0.0009307
23,179.063,1.29651,1.13196,1.36099,0.72595,0.56974,0.63803,0.36658,1.46967,1.17832,1.52623,0.0009274,0.0009274,0.0009274
24,186.049,1.29716,1.13769,1.34937,0.75892,0.54263,0.63544,0.37843,1.42895,1.13371,1.45177,0.0009241,0.0009241,0.0009241
25,192.814,1.30285,1.1501,1.3606,0.74623,0.53816,0.60327,0.3537,1.47441,1.18309,1.52763,0.0009208,0.0009208,0.0009208
26,200.082,1.26166,1.11294,1.34581,0.77811,0.57368,0.66265,0.3916,1.39384,1.06178,1.42273,0.0009175,0.0009175,0.0009175
27,206.598,1.27807,1.11121,1.36304,0.77448,0.56579,0.68132,0.40553,1.37327,1.00615,1.44488,0.0009142,0.0009142,0.0009142
28,213.192,1.25082,1.0683,1.33579,0.74943,0.57457,0.66205,0.38673,1.3908,1.05986,1.43555,0.0009109,0.0009109,0.0009109
29,219.666,1.25149,1.04276,1.32486,0.74014,0.61842,0.68824,0.40596,1.37031,0.96188,1.42334,0.0009076,0.0009076,0.0009076
30,226.782,1.26046,1.05679,1.33558,0.72596,0.60395,0.67235,0.40887,1.3581,0.99714,1.42705,0.0009043,0.0009043,0.0009043
31,234.14,1.25109,1.06322,1.32586,0.77852,0.59211,0.68302,0.39675,1.38332,1.00938,1.44914,0.000901,0.000901,0.000901
32,241.207,1.26337,1.07647,1.34215,0.74703,0.53684,0.64807,0.37801,1.42565,1.08814,1.47116,0.0008977,0.0008977,0.0008977
33,248.047,1.2394,1.05222,1.32996,0.78697,0.58553,0.66531,0.4079,1.32489,0.96574,1.39568,0.0008944,0.0008944,0.0008944
34,255.389,1.20919,1.04337,1.31543,0.79876,0.56053,0.65257,0.37944,1.44282,1.08664,1.46991,0.0008911,0.0008911,0.0008911
35,262.285,1.23682,1.04191,1.31415,0.77229,0.60263,0.689,0.41357,1.37842,0.96639,1.45013,0.0008878,0.0008878,0.0008878
36,268.663,1.24224,1.0334,1.33115,0.78496,0.6,0.69775,0.41633,1.39041,0.96445,1.43418,0.0008845,0.0008845,0.0008845
37,274.872,1.19967,0.99377,1.29345,0.70812,0.54905,0.63178,0.37926,1.40988,1.12883,1.44681,0.0008812,0.0008812,0.0008812
38,281.213,1.19585,0.99625,1.30583,0.75815,0.61711,0.69784,0.40613,1.42503,0.97452,1.46165,0.0008779,0.0008779,0.0008779
39,287.952,1.18907,1.00068,1.29127,0.78567,0.61447,0.70367,0.41604,1.34354,0.94397,1.44325,0.0008746,0.0008746,0.0008746
40,293.93,1.19694,0.99321,1.29588,0.81324,0.56722,0.68689,0.41932,1.35525,0.96589,1.42348,0.0008713,0.0008713,0.0008713
41,300.299,1.21246,1.00024,1.31427,0.81833,0.60526,0.72631,0.44401,1.2952,0.89576,1.40596,0.000868,0.000868,0.000868
42,307.651,1.1846,0.98099,1.28855,0.75376,0.57895,0.66939,0.39985,1.34749,1.00117,1.41724,0.0008647,0.0008647,0.0008647
43,314.912,1.18708,0.99448,1.29381,0.75881,0.5961,0.67443,0.40638,1.33926,0.94944,1.39801,0.0008614,0.0008614,0.0008614
44,321.604,1.20136,0.98656,1.31008,0.79754,0.63236,0.7242,0.43229,1.29788,0.90885,1.35878,0.0008581,0.0008581,0.0008581
45,327.991,1.20051,0.99542,1.30823,0.82777,0.56447,0.66606,0.40217,1.35242,0.95625,1.42315,0.0008548,0.0008548,0.0008548
46,334.547,1.16373,0.94596,1.27971,0.80531,0.60789,0.71418,0.4273,1.33978,0.92733,1.41549,0.0008515,0.0008515,0.0008515
47,340.915,1.1692,0.92015,1.27243,0.77533,0.63421,0.71715,0.42449,1.34959,0.90058,1.37361,0.0008482,0.0008482,0.0008482
48,347.335,1.19754,0.9713,1.2884,0.82526,0.63158,0.72,0.44255,1.29984,0.86617,1.36345,0.0008449,0.0008449,0.0008449
49,353.792,1.16034,0.91961,1.27544,0.8292,0.57895,0.68406,0.41548,1.34342,0.88094,1.40032,0.0008416,0.0008416,0.0008416
50,360.948,1.17112,0.9264,1.27496,0.74108,0.64211,0.70316,0.42969,1.3053,0.93686,1.39737,0.0008383,0.0008383,0.0008383
51,367.478,1.15723,0.9615,1.27941,0.76792,0.61184,0.69227,0.42929,1.31572,0.88949,1.39464,0.000835,0.000835,0.000835
52,374.705,1.15209,0.91011,1.26556,0.85151,0.59607,0.69125,0.42007,1.34309,0.88618,1.39885,0.0008317,0.0008317,0.0008317
53,381.991,1.14095,0.91281,1.25445,0.80865,0.60526,0.70809,0.44074,1.28824,0.88186,1.36367,0.0008284,0.0008284,0.0008284
54,388.565,1.14983,0.92569,1.27254,0.8043,0.63553,0.72968,0.44748,1.25516,0.85152,1.34924,0.0008251,0.0008251,0.0008251
55,395.228,1.13745,0.90612,1.26129,0.78525,0.63289,0.71617,0.43928,1.33922,0.86808,1.40414,0.0008218,0.0008218,0.0008218
56,401.236,1.16916,0.91348,1.27329,0.7818,0.63026,0.71632,0.44695,1.28122,0.85026,1.37917,0.0008185,0.0008185,0.0008185
57,407.41,1.14846,0.91736,1.26954,0.79534,0.60339,0.70668,0.42705,1.3534,0.90085,1.45137,0.0008152,0.0008152,0.0008152
58,414.413,1.15924,0.89722,1.27065,0.76927,0.65921,0.74248,0.45113,1.30709,0.83288,1.38601,0.0008119,0.0008119,0.0008119
59,421.814,1.14084,0.90055,1.26,0.8012,0.63816,0.73778,0.45574,1.25952,0.80904,1.34865,0.0008086,0.0008086,0.0008086
60,428.968,1.13035,0.90231,1.26566,0.79384,0.63332,0.73332,0.45361,1.27748,0.81476,1.36341,0.0008053,0.0008053,0.0008053
61,435.068,1.13493,0.90064,1.25858,0.81174,0.62105,0.74004,0.44902,1.25866,0.86252,1.35484,0.000802,0.000802,0.000802
62,442.082,1.12718,0.87476,1.25275,0.73084,0.64474,0.71915,0.43587,1.31123,0.85659,1.39703,0.0007987,0.0007987,0.0007987
63,449.381,1.12768,0.88685,1.248,0.76661,0.65,0.73037,0.44597,1.26167,0.83883,1.36145,0.0007954,0.0007954,0.0007954
64,456.65,1.12396,0.8936,1.24479,0.81744,0.6245,0.73257,0.43876,1.29443,0.84556,1.38672,0.0007921,0.0007921,0.0007921
65,464.033,1.09821,0.88305,1.22787,0.82998,0.62105,0.71514,0.44131,1.2933,0.82563,1.37219,0.0007888,0.0007888,0.0007888
66,470.943,1.08904,0.8652,1.23051,0.79756,0.64797,0.73219,0.4464,1.28117,0.84527,1.3607,0.0007855,0.0007855,0.0007855
67,477.187,1.10641,0.84063,1.22715,0.81464,0.62453,0.72108,0.44247,1.29258,0.79599,1.37394,0.0007822,0.0007822,0.0007822
68,483.66,1.10093,0.85444,1.228,0.75783,0.64605,0.71914,0.4418,1.2993,0.84723,1.3724,0.0007789,0.0007789,0.0007789
69,490.044,1.09255,0.84594,1.22643,0.79582,0.63594,0.72116,0.44012,1.29164,0.81488,1.38989,0.0007756,0.0007756,0.0007756
70,496.415,1.1116,0.87411,1.24396,0.79954,0.61579,0.70764,0.43511,1.3098,0.83817,1.41618,0.0007723,0.0007723,0.0007723
71,502.848,1.08645,0.84981,1.22601,0.8249,0.63848,0.73968,0.4503,1.27437,0.82608,1.36077,0.000769,0.000769,0.000769
72,510.072,1.09833,0.84525,1.23688,0.85591,0.57059,0.68101,0.43192,1.27492,0.83352,1.37442,0.0007657,0.0007657,0.0007657
73,517.162,1.09873,0.85276,1.24814,0.83167,0.65658,0.73532,0.44086,1.2972,0.81396,1.38537,0.0007624,0.0007624,0.0007624
74,524.487,1.09675,0.8298,1.22767,0.7992,0.65395,0.75161,0.45123,1.30746,0.81011,1.38485,0.0007591,0.0007591,0.0007591
75,531.837,1.07932,0.84708,1.21398,0.72602,0.63459,0.70581,0.43567,1.30068,0.8292,1.38111,0.0007558,0.0007558,0.0007558
76,538.604,1.07654,0.8132,1.21975,0.75564,0.64288,0.71844,0.42978,1.33133,0.85633,1.39206,0.0007525,0.0007525,0.0007525
77,545.776,1.09246,0.83819,1.21649,0.82906,0.61579,0.72336,0.44355,1.31021,0.83292,1.38153,0.0007492,0.0007492,0.0007492
78,552.592,1.07769,0.82803,1.22633,0.7905,0.65263,0.74344,0.44344,1.32405,0.82048,1.38924,0.0007459,0.0007459,0.0007459
79,559.249,1.07628,0.82529,1.21221,0.83308,0.63947,0.75162,0.45368,1.29776,0.80187,1.37451,0.0007426,0.0007426,0.0007426
80,566.463,1.08053,0.81662,1.22102,0.80854,0.66316,0.75336,0.46927,1.24487,0.76789,1.33967,0.0007393,0.0007393,0.0007393
81,573.795,1.07609,0.82253,1.20825,0.78858,0.65275,0.75042,0.45028,1.29395,0.78785,1.38145,0.000736,0.000736,0.000736
82,580.991,1.08243,0.82417,1.21642,0.79094,0.675,0.76131,0.47231,1.24623,0.75297,1.32613,0.0007327,0.0007327,0.0007327
83,588.21,1.05919,0.80709,1.21426,0.84168,0.62105,0.74754,0.4651,1.26874,0.76176,1.35282,0.0007294,0.0007294,0.0007294
84,594.588,1.0682,0.81289,1.21301,0.78912,0.65132,0.72995,0.44697,1.26921,0.81505,1.34399,0.0007261,0.0007261,0.0007261
85,601.037,1.06149,0.81066,1.20893,0.86147,0.64079,0.74627,0.45925,1.2865,0.77404,1.37407,0.0007228,0.0007228,0.0007228
86,608.253,1.06877,0.80647,1.204,0.77415,0.67201,0.73774,0.46424,1.23757,0.77904,1.33864,0.0007195,0.0007195,0.0007195
87,615.636,1.04224,0.79125,1.20222,0.80515,0.625,0.72536,0.45596,1.26823,0.79801,1.3565,0.0007162,0.0007162,0.0007162
88,622.788,1.03776,0.79013,1.18503,0.80389,0.64722,0.73509,0.45996,1.2803,0.77815,1.36765,0.0007129,0.0007129,0.0007129
89,629.545,1.04704,0.77868,1.19269,0.81906,0.63684,0.73435,0.44811,1.2772,0.78336,1.39269,0.0007096,0.0007096,0.0007096
90,636.822,1.04112,0.78607,1.19694,0.81058,0.65,0.74367,0.46394,1.25394,0.79003,1.36758,0.0007063,0.0007063,0.0007063
91,644.008,1.04967,0.7855,1.20588,0.78537,0.67632,0.75954,0.47146,1.25053,0.75369,1.34414,0.000703,0.000703,0.000703
92,650.301,1.03776,0.77306,1.18211,0.81305,0.65806,0.76205,0.46929,1.24651,0.76558,1.35443,0.0006997,0.0006997,0.0006997
93,656.665,1.05088,0.79433,1.20382,0.79201,0.66447,0.73857,0.45657,1.25316,0.79121,1.34893,0.0006964,0.0006964,0.0006964
94,663.662,1.02859,0.76608,1.19344,0.83729,0.64605,0.75914,0.46714,1.26882,0.77762,1.34554,0.0006931,0.0006931,0.0006931
95,670.798,1.02681,0.75864,1.19474,0.80206,0.69737,0.77632,0.48977,1.22412,0.7396,1.31691,0.0006898,0.0006898,0.0006898
96,676.847,1.02369,0.76864,1.18242,0.80787,0.64079,0.73857,0.46036,1.2407,0.78247,1.34906,0.0006865,0.0006865,0.0006865
97,683.107,1.04475,0.77843,1.20889,0.7888,0.66341,0.75737,0.47902,1.22011,0.74264,1.3475,0.0006832,0.0006832,0.0006832
98,689.342,1.05787,0.79083,1.21167,0.81411,0.66579,0.74789,0.46596,1.25361,0.74546,1.37285,0.0006799,0.0006799,0.0006799
99,695.808,1.03141,0.77156,1.20282,0.81303,0.66579,0.7682,0.47296,1.24194,0.77179,1.33686,0.0006766,0.0006766,0.0006766
100,702.28,1.02444,0.76261,1.18465,0.845,0.63421,0.75586,0.48088,1.22658,0.74414,1.31795,0.0006733,0.0006733,0.0006733
101,709.633,1.01207,0.74777,1.17408,0.78447,0.66091,0.74378,0.4583,1.27518,0.76974,1.38556,0.00067,0.00067,0.00067
102,716.784,1.03059,0.77748,1.19818,0.75207,0.63063,0.73378,0.4538,1.29817,0.79963,1.41285,0.0006667,0.0006667,0.0006667
103,724.061,1.0326,0.7602,1.18672,0.79767,0.70547,0.77929,0.481,1.22123,0.72593,1.35303,0.0006634,0.0006634,0.0006634
104,731.182,0.99942,0.7368,1.16891,0.80059,0.69202,0.76657,0.48035,1.24761,0.72537,1.36709,0.0006601,0.0006601,0.0006601
105,738.413,1.02382,0.74832,1.17578,0.79127,0.70789,0.78102,0.48835,1.252,0.72864,1.35769,0.0006568,0.0006568,0.0006568
106,745.215,1.0205,0.7554,1.17095,0.76026,0.68026,0.74929,0.47473,1.24355,0.76963,1.34564,0.0006535,0.0006535,0.0006535
107,751.761,1.01394,0.74266,1.17456,0.8184,0.69973,0.78368,0.48522,1.22651,0.70909,1.32017,0.0006502,0.0006502,0.0006502
108,758.783,1.01708,0.76522,1.1823,0.79196,0.675,0.75979,0.47708,1.2163,0.70452,1.34672,0.0006469,0.0006469,0.0006469
109,766.09,1.01762,0.73792,1.1738,0.8,0.66317,0.75094,0.46412,1.24119,0.76739,1.33788,0.0006436,0.0006436,0.0006436
110,772.927,0.99808,0.7423,1.16899,0.81875,0.64605,0.74997,0.47354,1.23709,0.70393,1.34038,0.0006403,0.0006403,0.0006403
111,779.363,0.99949,0.74321,1.17167,0.77357,0.68684,0.75318,0.46745,1.24649,0.7319,1.35002,0.000637,0.000637,0.000637
112,786.421,1.00695,0.74194,1.16974,0.77068,0.68289,0.75676,0.46991,1.26496,0.71502,1.37587,0.0006337,0.0006337,0.0006337
113,793.411,0.99309,0.73231,1.16389,0.76056,0.68947,0.76084,0.48065,1.22021,0.71743,1.35559,0.0006304,0.0006304,0.0006304
114,800.377,0.99732,0.73268,1.17342,0.85742,0.65263,0.77003,0.47449,1.25083,0.72785,1.36354,0.0006271,0.0006271,0.0006271
115,807.406,0.99312,0.74456,1.16937,0.82367,0.67368,0.76952,0.48776,1.22258,0.70909,1.32394,0.0006238,0.0006238,0.0006238
116,814.77,0.98868,0.73577,1.1545,0.84531,0.70132,0.78789,0.47935,1.26125,0.68609,1.34987,0.0006205,0.0006205,0.0006205
