epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9359,1.55934,3.43487,1.5627,0.18323,0.20658,0.09769,0.05341,1.86825,15.0564,2.04641,0.0676471,0.000326797,0.000326797
2,37.9799,1.56324,1.60523,1.5394,0.63334,0.37368,0.40581,0.22956,1.746,2.0051,1.92294,0.0346449,0.000657952,0.000657952
3,47.1963,1.54434,1.59506,1.55991,0.22699,0.33112,0.14238,0.06396,1.92065,14.1226,2.23014,0.0016405,0.000986907,0.000986907
4,56.1921,1.59735,1.58954,1.5877,0.52415,0.26053,0.27346,0.16847,1.91395,3.47587,2.10169,0.0009901,0.0009901,0.0009901
5,65.1943,1.57907,1.61691,1.58374,0.61149,0.33421,0.34556,0.18852,1.83795,2.74512,1.84538,0.0009868,0.0009868,0.0009868
6,74.1538,1.5673,1.53651,1.55701,0.61059,0.35132,0.37121,0.22265,1.71854,2.54285,1.71296,0.0009835,0.0009835,0.0009835
7,83.1298,1.49032,1.51163,1.49848,0.73196,0.38446,0.44908,0.26528,1.62305,1.88504,1.66103,0.0009802,0.0009802,0.0009802
8,91.9432,1.52614,1.52432,1.53493,0.63133,0.43421,0.4532,0.2479,1.62619,1.83471,1.64543,0.0009769,0.0009769,0.0009769
9,100.933,1.4546,1.40783,1.47676,0.67501,0.44605,0.51801,0.31232,1.54724,1.38281,1.59787,0.0009736,0.0009736,0.0009736
10,110.335,1.42275,1.36031,1.46447,0.70933,0.43816,0.53019,0.31518,1.55492,1.36439,1.60348,0.0009703,0.0009703,0.0009703
11,119.544,1.4428,1.37554,1.47224,0.76959,0.45132,0.55174,0.32908,1.55754,1.37266,1.62422,0.000967,0.000967,0.000967
12,128.786,1.37617,1.2882,1.4285,0.6929,0.48158,0.56452,0.31284,1.58751,1.34837,1.55311,0.0009637,0.0009637,0.0009637
13,137.884,1.41357,1.2792,1.45084,0.7504,0.46447,0.54662,0.33117,1.61181,1.30121,1.60737,0.0009604,0.0009604,0.0009604
14,147.13,1.37719,1.31643,1.43765,0.74711,0.48203,0.56422,0.3352,1.48399,1.32973,1.55542,0.0009571,0.0009571,0.0009571
15,155.925,1.3689,1.25355,1.43895,0.71926,0.50395,0.58859,0.34402,1.5398,1.2094,1.56876,0.0009538,0.0009538,0.0009538
16,164.478,1.35978,1.23616,1.41321,0.74153,0.49073,0.56943,0.34689,1.48047,1.24819,1.5324,0.0009505,0.0009505,0.0009505
17,173.534,1.32603,1.2228,1.40878,0.77938,0.5485,0.63665,0.37361,1.46068,1.14478,1.52447,0.0009472,0.0009472,0.0009472
18,182.631,1.3762,1.24568,1.43016,0.67131,0.54015,0.59135,0.3374,1.51198,1.21527,1.55476,0.0009439,0.0009439,0.0009439
19,191.148,1.27119,1.12714,1.3361,0.70641,0.5762,0.64298,0.38702,1.41954,1.1207,1.50459,0.0009406,0.0009406,0.0009406
20,200.252,1.2985,1.18996,1.40301,0.70942,0.55789,0.63219,0.37386,1.45069,1.13582,1.4978,0.0009373,0.0009373,0.0009373
21,208.672,1.2873,1.16858,1.38539,0.72314,0.56711,0.62554,0.37893,1.44018,1.10573,1.49004,0.000934,0.000934,0.000934
22,217.655,1.30045,1.17285,1.37804,0.79294,0.50894,0.6101,0.3707,1.42941,1.08723,1.49983,0.0009307,0.0009307,0.0009307
23,226.391,1.27919,1.11967,1.36304,0.72455,0.56447,0.65389,0.39448,1.39954,1.0607,1.48351,0.0009274,0.0009274,0.0009274
24,235.405,1.2799,1.13987,1.36616,0.66365,0.49068,0.55372,0.33696,1.42906,1.37439,1.49524,0.0009241,0.0009241,0.0009241
25,244.347,1.2881,1.15364,1.36479,0.76673,0.52105,0.61722,0.3551,1.43949,1.23572,1.52482,0.0009208,0.0009208,0.0009208
26,253.479,1.26522,1.11372,1.37231,0.71979,0.57237,0.6452,0.38194,1.4278,1.1117,1.48578,0.0009175,0.0009175,0.0009175
27,262.451,1.24693,1.09887,1.35657,0.73189,0.55526,0.65337,0.38528,1.43836,1.07808,1.50073,0.0009142,0.0009142,0.0009142
28,271.453,1.24105,1.08224,1.34644,0.75279,0.59737,0.67418,0.39486,1.4027,1.04471,1.46862,0.0009109,0.0009109,0.0009109
29,280.028,1.22839,1.04451,1.32663,0.77268,0.57696,0.68267,0.40638,1.3941,0.9783,1.463,0.0009076,0.0009076,0.0009076
30,288.586,1.24358,1.06386,1.34021,0.7875,0.59474,0.69111,0.41299,1.38885,1.04411,1.43674,0.0009043,0.0009043,0.0009043
31,297.655,1.24479,1.05451,1.33639,0.77111,0.55789,0.65219,0.38884,1.4147,1.12385,1.4726,0.000901,0.000901,0.000901
32,306.866,1.2479,1.05714,1.34159,0.79063,0.57763,0.68072,0.40604,1.40776,1.05011,1.47612,0.0008977,0.0008977,0.0008977
33,315.609,1.2318,1.0591,1.32674,0.80486,0.55,0.66031,0.40096,1.36361,1.06241,1.44086,0.0008944,0.0008944,0.0008944
34,324.785,1.19943,1.045,1.31447,0.7573,0.52763,0.62465,0.35808,1.46148,1.15487,1.491,0.0008911,0.0008911,0.0008911
35,333.1,1.23631,1.05439,1.32553,0.73257,0.58029,0.67171,0.41662,1.31171,1.04129,1.40439,0.0008878,0.0008878,0.0008878
36,341.464,1.20559,1.03912,1.32564,0.76967,0.61117,0.70587,0.42397,1.34819,0.97552,1.42117,0.0008845,0.0008845,0.0008845
37,349.851,1.1815,1.00648,1.3012,0.7319,0.60658,0.68473,0.40322,1.36119,1.03805,1.44797,0.0008812,0.0008812,0.0008812
38,358.875,1.18333,0.98971,1.30354,0.79936,0.55789,0.66527,0.39742,1.42718,1.03829,1.44921,0.0008779,0.0008779,0.0008779
39,367.734,1.17077,0.99762,1.28628,0.76227,0.63285,0.71369,0.43527,1.3548,0.98217,1.4525,0.0008746,0.0008746,0.0008746
