epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0154,1.44229,3.1679,1.49615,0.00349,0.59605,0.13161,0.07545,1.36515,3.16035,1.48326,0.0705882,0.00326797,0.00326797
2,20.7824,1.52768,2.10494,1.51121,0.62677,0.33366,0.36239,0.22104,1.54039,2.16816,1.56271,0.0405665,0.00657952,0.00657952
3,27.3348,1.50527,1.90911,1.48788,0.39363,0.29342,0.2236,0.11388,1.78415,2.46164,1.72727,0.0105227,0.00986907,0.00986907
4,33.7394,1.60341,1.95,1.56531,0.41297,0.26842,0.22747,0.11511,1.84409,2.97235,1.89344,0.009901,0.009901,0.009901
5,40.2095,1.57846,1.85865,1.52581,0.64038,0.28026,0.31452,0.18547,1.67367,2.99894,1.77953,0.009868,0.009868,0.009868
6,46.9692,1.58201,1.79494,1.53446,0.59774,0.35,0.38073,0.2215,1.68945,1.85271,1.7047,0.009835,0.009835,0.009835
7,56.2218,1.53125,1.66895,1.49431,0.72136,0.4292,0.47206,0.26752,1.63774,1.68605,1.62233,0.009802,0.009802,0.009802
8,65.4328,1.54441,1.63221,1.50105,0.64353,0.41447,0.44299,0.25257,1.61393,1.78621,1.62103,0.009769,0.009769,0.009769
9,74.779,1.50402,1.56241,1.48573,0.65548,0.46842,0.50714,0.27279,1.54858,1.89893,1.55063,0.009736,0.009736,0.009736
10,83.9728,1.49055,1.51677,1.4929,0.75765,0.39342,0.46193,0.27101,1.61391,1.54492,1.61242,0.009703,0.009703,0.009703
11,93.2498,1.49218,1.50246,1.47527,0.58791,0.33421,0.35374,0.17434,2.00159,1.89084,1.83021,0.00967,0.00967,0.00967
12,102.49,1.43348,1.43818,1.44743,0.72004,0.41962,0.47552,0.27952,1.50801,1.63139,1.52305,0.009637,0.009637,0.009637
13,111.751,1.426,1.39009,1.42986,0.76671,0.48289,0.58207,0.32106,1.45371,1.23499,1.48478,0.009604,0.009604,0.009604
14,120.942,1.41634,1.37629,1.41533,0.68812,0.52368,0.57025,0.32073,1.46379,1.22938,1.47816,0.009571,0.009571,0.009571
15,130.299,1.37805,1.32975,1.38685,0.7402,0.39211,0.44903,0.211,1.86137,1.86757,1.70433,0.009538,0.009538,0.009538
16,139.623,1.36749,1.31783,1.38006,0.66711,0.45658,0.51363,0.31753,1.41783,1.27745,1.42978,0.009505,0.009505,0.009505
17,148.931,1.38608,1.32594,1.39812,0.70191,0.46842,0.54159,0.32214,1.4062,1.24677,1.42581,0.009472,0.009472,0.009472
18,158.169,1.35779,1.27699,1.38751,0.76411,0.49015,0.59635,0.35256,1.35134,1.15671,1.38167,0.009439,0.009439,0.009439
19,167.44,1.35312,1.24721,1.36801,0.7748,0.49868,0.5901,0.35543,1.40929,1.12454,1.41688,0.009406,0.009406,0.009406
20,176.751,1.34504,1.25585,1.37149,0.68708,0.54868,0.59947,0.35042,1.41059,1.16622,1.40929,0.009373,0.009373,0.009373
21,186.077,1.3306,1.23274,1.35593,0.62916,0.50452,0.56101,0.3291,1.41474,1.23402,1.43556,0.00934,0.00934,0.00934
22,195.42,1.3646,1.23883,1.3752,0.74098,0.50921,0.58885,0.35295,1.37969,1.12714,1.42337,0.009307,0.009307,0.009307
23,204.728,1.3121,1.17573,1.34464,0.70864,0.54079,0.62179,0.3694,1.36131,1.11368,1.40081,0.009274,0.009274,0.009274
24,214.082,1.33666,1.19315,1.36364,0.71307,0.56242,0.6436,0.37244,1.37878,1.05495,1.41095,0.009241,0.009241,0.009241
25,223.373,1.3002,1.18727,1.35418,0.78361,0.52413,0.63144,0.3788,1.33225,1.02967,1.38951,0.009208,0.009208,0.009208
26,232.703,1.30942,1.17815,1.36589,0.76618,0.53684,0.60949,0.36798,1.37263,1.03131,1.40425,0.009175,0.009175,0.009175
27,241.94,1.32706,1.143,1.35045,0.85089,0.51579,0.64498,0.39952,1.34292,0.99148,1.36768,0.009142,0.009142,0.009142
28,251.233,1.3017,1.13176,1.34476,0.76591,0.53158,0.60738,0.35982,1.37184,1.02847,1.39637,0.009109,0.009109,0.009109
29,260.677,1.26125,1.09151,1.30807,0.74901,0.51711,0.62167,0.36757,1.385,1.09435,1.38635,0.009076,0.009076,0.009076
30,270.216,1.27685,1.13167,1.31792,0.77369,0.55789,0.64096,0.38035,1.37782,0.99536,1.37995,0.009043,0.009043,0.009043
31,279.588,1.27167,1.08952,1.32471,0.73092,0.54605,0.61812,0.37691,1.36528,1.05071,1.37185,0.00901,0.00901,0.00901
32,288.927,1.28111,1.12333,1.32993,0.75235,0.59211,0.6536,0.38413,1.33543,0.97676,1.37281,0.008977,0.008977,0.008977
33,298.247,1.24892,1.04784,1.30247,0.78601,0.57029,0.66165,0.39492,1.31621,0.99829,1.38149,0.008944,0.008944,0.008944
34,307.568,1.22459,1.0491,1.30008,0.76355,0.59605,0.67553,0.39245,1.34235,1.00064,1.39982,0.008911,0.008911,0.008911
35,316.932,1.2507,1.05076,1.29869,0.79388,0.58289,0.66914,0.41221,1.31295,0.89903,1.33983,0.008878,0.008878,0.008878
36,326.202,1.2761,1.07562,1.33661,0.77603,0.49238,0.60044,0.37014,1.33641,1.06905,1.38838,0.008845,0.008845,0.008845
37,335.543,1.2325,1.03632,1.30355,0.85697,0.55395,0.66412,0.41155,1.29567,0.91208,1.35694,0.008812,0.008812,0.008812
38,344.833,1.2358,1.04023,1.29969,0.77338,0.6062,0.69673,0.42494,1.26547,0.92377,1.33451,0.008779,0.008779,0.008779
39,354.118,1.21071,1.01731,1.28333,0.73884,0.61048,0.67888,0.40756,1.26648,0.94927,1.34115,0.008746,0.008746,0.008746
40,363.296,1.22059,1.03433,1.29632,0.77953,0.49079,0.5989,0.35791,1.36922,1.21018,1.41269,0.008713,0.008713,0.008713
41,372.426,1.23942,1.04039,1.31442,0.80167,0.601,0.69452,0.40845,1.38011,0.91659,1.36374,0.00868,0.00868,0.00868
42,381.686,1.19858,0.98105,1.28578,0.79731,0.58553,0.68203,0.41491,1.31216,0.9129,1.38165,0.008647,0.008647,0.008647
43,390.982,1.23283,1.01774,1.28871,0.80189,0.59651,0.69733,0.42385,1.26847,0.90766,1.30719,0.008614,0.008614,0.008614
44,400.179,1.2164,1.02205,1.27612,0.78315,0.54342,0.6618,0.39792,1.30252,1.00426,1.34124,0.008581,0.008581,0.008581
45,409.362,1.1903,0.99353,1.26662,0.72845,0.61768,0.68944,0.43544,1.23883,0.89698,1.32846,0.008548,0.008548,0.008548
46,418.486,1.18921,0.95782,1.26391,0.86655,0.55538,0.71305,0.43541,1.25765,0.87998,1.31585,0.008515,0.008515,0.008515
47,427.774,1.21385,0.96904,1.27334,0.82256,0.575,0.6775,0.42475,1.27207,0.85465,1.34474,0.008482,0.008482,0.008482
48,436.902,1.20381,0.97058,1.28259,0.80789,0.61842,0.72443,0.4427,1.24459,0.85034,1.30353,0.008449,0.008449,0.008449
49,446.086,1.17208,0.94985,1.26663,0.81322,0.56974,0.66341,0.39502,1.33712,0.93675,1.36947,0.008416,0.008416,0.008416
50,455.222,1.18593,0.95175,1.25949,0.76245,0.63347,0.71401,0.43201,1.25196,0.8665,1.31248,0.008383,0.008383,0.008383
51,464.457,1.17806,0.96083,1.26048,0.80319,0.59868,0.70963,0.43586,1.2422,0.85344,1.30579,0.00835,0.00835,0.00835
52,473.692,1.1917,0.964,1.27096,0.79593,0.60789,0.71189,0.42985,1.25488,0.85226,1.30402,0.008317,0.008317,0.008317
53,483.04,1.18306,0.93778,1.23963,0.853,0.55658,0.69049,0.42397,1.26583,0.87016,1.3151,0.008284,0.008284,0.008284
54,492.29,1.13472,0.90994,1.24063,0.82148,0.66053,0.74538,0.46265,1.23234,0.81387,1.29139,0.008251,0.008251,0.008251
55,501.513,1.15305,0.90098,1.24503,0.77885,0.59474,0.6879,0.42102,1.28074,0.85012,1.35041,0.008218,0.008218,0.008218
56,509.218,1.16943,0.91843,1.2465,0.82227,0.60263,0.69375,0.4321,1.27439,0.81809,1.31887,0.008185,0.008185,0.008185
57,515.504,1.18147,0.93883,1.27097,0.79233,0.62249,0.71073,0.43578,1.28168,0.85306,1.35411,0.008152,0.008152,0.008152
58,521.798,1.15171,0.9251,1.24501,0.78572,0.64737,0.73723,0.44851,1.2781,0.79727,1.35439,0.008119,0.008119,0.008119
59,528.249,1.16028,0.88817,1.2316,0.79222,0.63713,0.72232,0.44093,1.24343,0.82652,1.31485,0.008086,0.008086,0.008086
60,534.566,1.15824,0.91108,1.24093,0.79089,0.62205,0.71844,0.44951,1.25397,0.8068,1.31183,0.008053,0.008053,0.008053
61,540.881,1.12619,0.88564,1.22568,0.76853,0.46316,0.54662,0.33919,1.432,1.269,1.53158,0.00802,0.00802,0.00802
62,547.295,1.13844,0.88665,1.23492,0.76441,0.65132,0.72602,0.43208,1.31037,0.88102,1.33537,0.007987,0.007987,0.007987
63,553.694,1.1279,0.87039,1.23068,0.81685,0.62105,0.72917,0.45511,1.23853,0.80077,1.29164,0.007954,0.007954,0.007954
64,560.03,1.12783,0.86422,1.23452,0.84326,0.62105,0.74474,0.46422,1.1901,0.78553,1.29397,0.007921,0.007921,0.007921
65,566.363,1.11923,0.87566,1.2117,0.82726,0.61053,0.72085,0.43489,1.22737,0.83244,1.2892,0.007888,0.007888,0.007888
66,572.818,1.12466,0.86366,1.21803,0.75125,0.63979,0.70998,0.43128,1.27947,0.83572,1.33542,0.007855,0.007855,0.007855
67,579.208,1.11456,0.85511,1.21887,0.76669,0.58421,0.6835,0.42017,1.27164,0.808,1.33708,0.007822,0.007822,0.007822
68,585.623,1.10182,0.85365,1.21018,0.78084,0.61316,0.71059,0.43607,1.21657,0.82588,1.29931,0.007789,0.007789,0.007789
69,591.953,1.10201,0.84693,1.21741,0.80074,0.67105,0.75423,0.46517,1.20953,0.76329,1.30576,0.007756,0.007756,0.007756
70,598.291,1.10283,0.84966,1.20061,0.7941,0.65,0.73596,0.44855,1.25537,0.79853,1.33265,0.007723,0.007723,0.007723
71,604.625,1.1265,0.84547,1.21613,0.81397,0.625,0.74744,0.45433,1.25508,0.78614,1.33433,0.00769,0.00769,0.00769
72,610.946,1.09411,0.85548,1.19608,0.82281,0.63421,0.73847,0.45403,1.2477,0.81728,1.33265,0.007657,0.007657,0.007657
73,617.32,1.08572,0.81129,1.19792,0.84397,0.58158,0.72817,0.44126,1.26588,0.77341,1.33985,0.007624,0.007624,0.007624
74,623.646,1.08304,0.83306,1.19389,0.78454,0.62105,0.72704,0.43978,1.26876,0.79471,1.34299,0.007591,0.007591,0.007591
75,629.968,1.09418,0.82692,1.1896,0.76362,0.65658,0.72562,0.44185,1.26097,0.79309,1.32849,0.007558,0.007558,0.007558
76,636.274,1.1022,0.82528,1.211,0.85028,0.64266,0.77016,0.47199,1.19314,0.74171,1.29766,0.007525,0.007525,0.007525
77,642.6,1.0729,0.79477,1.19076,0.86308,0.57763,0.72774,0.45355,1.22808,0.78479,1.30757,0.007492,0.007492,0.007492
78,648.898,1.0848,0.81103,1.2104,0.84769,0.65921,0.77554,0.47608,1.1977,0.7513,1.27797,0.007459,0.007459,0.007459
79,655.277,1.08805,0.81086,1.19662,0.84238,0.64079,0.75855,0.47225,1.18207,0.72258,1.28594,0.007426,0.007426,0.007426
80,661.559,1.07981,0.80193,1.19331,0.80233,0.65789,0.74566,0.46795,1.20659,0.76681,1.29236,0.007393,0.007393,0.007393
81,667.89,1.07416,0.80958,1.20123,0.8118,0.68289,0.76567,0.47096,1.19532,0.75572,1.29452,0.00736,0.00736,0.00736
82,674.305,1.06176,0.7958,1.18655,0.77385,0.65263,0.73255,0.45082,1.23703,0.76431,1.31345,0.007327,0.007327,0.007327
83,680.633,1.06468,0.79644,1.20228,0.80078,0.65526,0.76085,0.47631,1.15788,0.76728,1.26055,0.007294,0.007294,0.007294
84,686.893,1.04763,0.77931,1.18275,0.87217,0.61944,0.76134,0.47222,1.17298,0.74084,1.27497,0.007261,0.007261,0.007261
85,693.189,1.04601,0.77608,1.16906,0.80825,0.66842,0.761,0.46262,1.21506,0.72653,1.31751,0.007228,0.007228,0.007228
86,699.519,1.05173,0.78953,1.17241,0.80399,0.65845,0.74228,0.46439,1.20054,0.75414,1.30719,0.007195,0.007195,0.007195
87,705.883,1.05521,0.79086,1.1883,0.79656,0.675,0.77235,0.46303,1.21781,0.73449,1.29093,0.007162,0.007162,0.007162
88,712.213,1.03152,0.78356,1.17753,0.87696,0.62763,0.76131,0.46608,1.21374,0.74831,1.29715,0.007129,0.007129,0.007129
89,718.5,1.05827,0.78506,1.19461,0.82471,0.65618,0.74758,0.46843,1.20573,0.70679,1.32245,0.007096,0.007096,0.007096
90,724.849,1.04107,0.75167,1.16545,0.86766,0.66425,0.76568,0.47887,1.17967,0.7058,1.27589,0.007063,0.007063,0.007063
91,733.771,1.03547,0.77578,1.17391,0.82555,0.64211,0.75471,0.46514,1.1982,0.7567,1.28544,0.00703,0.00703,0.00703
92,742.923,1.04596,0.76614,1.17215,0.85027,0.67632,0.78644,0.48751,1.19561,0.72469,1.28842,0.006997,0.006997,0.006997
93,752.107,1.03717,0.76716,1.16768,0.82778,0.67237,0.75796,0.47568,1.16407,0.75738,1.27576,0.006964,0.006964,0.006964
