epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6162,1.27505,3.70744,1.24572,0.0025,0.52381,0.01419,0.01039,1.00641,3.84981,1.16013,0.09604,4e-05,4e-05
2,17.5691,1.11731,3.38308,1.13865,0.00265,0.55556,0.01778,0.01565,1.36806,4.0901,1.42255,0.0910897,8.9703e-05,8.9703e-05
3,18.7146,0.98554,2.51542,1.03275,0.00106,0.22222,0.00065,0.00018,2.28502,3.96918,2.5287,0.0861391,0.000139076,0.000139076
4,19.9823,0.96549,1.68732,1.04891,0.00227,0.47619,0.03439,0.01625,1.46801,3.72059,1.51155,0.0811881,0.000188119,0.000188119
5,21.1189,0.92464,1.32791,1.0094,0.003,0.25397,0.04547,0.01701,1.23721,4.04904,1.27475,0.0762368,0.000236832,0.000236832
6,22.2498,0.87185,1.09634,0.97195,0.00319,0.26984,0.03421,0.01492,1.25186,4.13827,1.21353,0.0712852,0.000285215,0.000285215
7,23.2656,0.91853,0.99462,1.01832,0.00546,0.19048,0.02227,0.00906,1.18956,4.39895,1.25796,0.0663333,0.000333268,0.000333268
8,24.1634,0.93147,0.97197,0.98184,0.04899,0.26984,0.07062,0.03141,1.15263,4.22072,1.23322,0.061381,0.000380991,0.000380991
9,25.2597,0.88864,0.95087,0.9838,0.00744,0.22222,0.00797,0.00469,1.12908,4.26347,1.18346,0.0564284,0.000428384,0.000428384
10,26.4646,0.81036,0.84866,0.97872,0.00864,0.47619,0.00668,0.00439,1.12172,4.34235,1.1569,0.0514754,0.000475447,0.000475447
11,27.4643,0.8543,0.86755,0.98941,0.16372,0.01587,0.02793,0.01203,1.04966,3.90216,1.22588,0.0465222,0.00052218,0.00052218
12,28.4545,0.81563,0.79104,0.96662,0.11797,0.39683,0.12188,0.08236,0.95862,3.41415,1.08817,0.0415686,0.000568583,0.000568583
13,29.435,0.8168,0.76277,0.96375,0.31906,0.4127,0.2615,0.18859,0.97347,3.21321,1.11624,0.0366147,0.000614656,0.000614656
