epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5413,1.15598,3.19754,1.13629,0.00348,0.73016,0.00774,0.00349,1.1806,3.51262,1.21635,0.08119,0.00019,0.00019
2,26.4707,1.11189,1.97328,1.08476,0.00417,0.87302,0.3204,0.17032,1.06798,3.19623,1.03916,0.0613887,0.000388713,0.000388713
3,28.4092,1.06166,1.5197,1.09019,0.56805,0.12698,0.27065,0.18244,1.03461,2.95698,0.99688,0.0415861,0.000586106,0.000586106
4,30.4408,1.01405,1.36704,1.06563,0.80161,0.19252,0.4933,0.34001,1.03794,2.72413,1.04505,0.0217822,0.000782179,0.000782179
5,32.3069,1.00489,1.2402,1.03284,0.926,0.3973,0.79273,0.57569,0.98961,2.27731,1.01663,0.00197693,0.000976932,0.000976932
6,34.27,0.94663,1.15025,1.0256,0.78479,0.74603,0.75992,0.52256,1.0004,1.49649,1.06495,0.0009835,0.0009835,0.0009835
7,36.2232,0.97683,1.14038,1.05162,0.7697,0.8254,0.77333,0.54541,1.01759,1.20809,1.07779,0.0009802,0.0009802,0.0009802
8,38.1525,0.96504,1.07554,1.03323,0.8329,0.7912,0.82669,0.60767,1.01314,1.13893,1.04997,0.0009769,0.0009769,0.0009769
9,40.2762,0.93691,1.02227,1.03537,0.86368,0.8254,0.88276,0.63795,1.03089,0.94988,1.0991,0.0009736,0.0009736,0.0009736
10,42.3706,0.8884,0.98516,1.01856,0.89358,0.79973,0.89307,0.6505,0.97774,0.94726,1.09104,0.0009703,0.0009703,0.0009703
11,44.4228,0.94151,1.0066,1.02202,0.84137,0.8254,0.87414,0.65905,0.95163,1.01591,1.04117,0.000967,0.000967,0.000967
12,46.3444,0.90521,0.95858,1.01798,0.82183,0.80542,0.83222,0.63264,0.965,1.13327,1.04266,0.0009637,0.0009637,0.0009637
13,48.2407,0.9448,0.96919,1.02707,0.96334,0.83417,0.89286,0.6914,0.87563,0.93956,1.00397,0.0009604,0.0009604,0.0009604
14,50.3804,0.90755,0.87784,1.00716,0.92502,0.87302,0.91054,0.70595,0.88846,0.80616,1.03278,0.0009571,0.0009571,0.0009571
15,52.3851,0.86781,0.95969,1.01579,0.93239,0.87564,0.92943,0.70577,0.94065,0.79465,1.0529,0.0009538,0.0009538,0.0009538
16,54.4481,0.82698,0.84182,0.98466,0.94316,0.87302,0.9358,0.69187,0.95297,0.81194,1.03458,0.0009505,0.0009505,0.0009505
17,56.8227,0.78486,0.81647,0.96371,0.90064,0.80952,0.9056,0.69006,0.91187,0.88101,1.01997,0.0009472,0.0009472,0.0009472
18,59.2745,0.8889,0.80534,1.00104,0.89894,0.87302,0.92177,0.70765,0.96438,0.79127,1.04178,0.0009439,0.0009439,0.0009439
19,61.8594,0.82692,0.84988,0.97868,0.9134,0.84127,0.92847,0.68493,0.9339,0.79606,1.0468,0.0009406,0.0009406,0.0009406
20,64.5547,0.83903,0.82583,0.98513,0.91427,0.84644,0.93222,0.68425,0.95312,0.73412,1.02599,0.0009373,0.0009373,0.0009373
21,67.2861,0.84185,0.80173,0.98911,0.85549,0.92063,0.93539,0.71986,0.91425,0.67708,1.00274,0.000934,0.000934,0.000934
22,70.0004,0.84604,0.8164,0.98904,0.97948,0.85714,0.94268,0.72806,0.88789,0.65934,0.99307,0.0009307,0.0009307,0.0009307
23,72.7354,0.81571,0.77107,0.98526,0.95189,0.88889,0.94849,0.72878,0.89824,0.67215,1.00134,0.0009274,0.0009274,0.0009274
24,75.0903,0.83191,0.78595,1.00432,0.98112,0.82486,0.93364,0.72776,0.91314,0.73182,1.03565,0.0009241,0.0009241,0.0009241
25,77.4417,0.8914,0.98863,0.9787,0.94705,0.85178,0.93878,0.73851,0.92501,0.71196,1.0374,0.0009208,0.0009208,0.0009208
26,79.7839,0.80703,0.74907,0.98508,0.94862,0.92063,0.95444,0.75308,0.87182,0.68299,1.00816,0.0009175,0.0009175,0.0009175
27,82.2203,0.80092,0.72766,0.98451,0.96535,0.90476,0.94944,0.74726,0.85244,0.62858,0.99916,0.0009142,0.0009142,0.0009142
28,84.5191,0.75745,0.71512,0.94741,0.94693,0.88889,0.9452,0.7429,0.82109,0.63151,0.97691,0.0009109,0.0009109,0.0009109
29,86.7452,0.77535,0.71569,0.95754,0.99811,0.87302,0.95369,0.73394,0.93465,0.63948,1.03057,0.0009076,0.0009076,0.0009076
30,89.2485,0.79485,0.69228,0.96026,0.96461,0.86541,0.94719,0.7376,0.85105,0.64748,0.99188,0.0009043,0.0009043,0.0009043
31,91.6606,0.78397,0.71814,0.94201,0.9626,0.87302,0.95192,0.74023,0.82934,0.61897,0.9941,0.000901,0.000901,0.000901
32,94.027,0.77531,0.69216,0.98679,0.84186,0.92954,0.93064,0.73096,0.85881,0.63484,1.01668,0.0008977,0.0008977,0.0008977
33,96.2949,0.77251,0.73048,0.96382,0.90446,0.90164,0.92352,0.70707,0.85898,0.65703,1.03407,0.0008944,0.0008944,0.0008944
34,98.73,0.76911,0.62909,0.94771,0.93483,0.91082,0.94799,0.72337,0.86872,0.64316,1.02438,0.0008911,0.0008911,0.0008911
35,101.437,0.7615,0.68897,0.94666,0.96354,0.84127,0.91658,0.70999,0.85782,0.71647,1.0067,0.0008878,0.0008878,0.0008878
36,103.379,0.76483,0.64871,0.95609,0.95598,0.88889,0.94367,0.73927,0.81899,0.64249,0.98936,0.0008845,0.0008845,0.0008845
37,105.816,0.74418,0.62603,0.94512,0.96609,0.90443,0.95367,0.75894,0.8042,0.59825,0.97352,0.0008812,0.0008812,0.0008812
38,108.119,0.71652,0.61881,0.93812,0.9653,0.88326,0.94013,0.73533,0.85526,0.64728,0.98377,0.0008779,0.0008779,0.0008779
39,110.296,0.76337,0.63957,0.95368,0.85472,0.87302,0.90798,0.70238,0.86151,0.76071,0.98506,0.0008746,0.0008746,0.0008746
40,112.445,0.78378,0.64169,0.95023,0.89398,0.88889,0.89454,0.69459,0.87006,0.79778,0.98655,0.0008713,0.0008713,0.0008713
41,114.48,0.71573,0.62654,0.9269,0.86556,0.92063,0.92196,0.69593,0.8546,0.76414,0.96737,0.000868,0.000868,0.000868
42,116.84,0.74379,0.62569,0.93841,0.86669,0.92884,0.91582,0.71838,0.82386,0.6697,0.96289,0.0008647,0.0008647,0.0008647
43,119.108,0.71107,0.62227,0.91691,0.8935,0.84127,0.91304,0.7197,0.81895,0.64912,0.99261,0.0008614,0.0008614,0.0008614
