epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1677,1.52792,3.16866,2.57058,0.8345,0.6112,0.76492,0.55392,1.08783,1.63049,3.53433,0.08515,0.00015,0.00015
2,26.2856,0.72799,1.10039,1.84237,0.86976,0.96121,0.97773,0.78327,0.8802,0.79852,3.50521,0.069309,0.000308977,0.000308977
3,28.4041,0.64442,0.75243,1.79733,0.9922,0.9633,0.99371,0.89367,0.5897,0.55977,2.30677,0.0534669,0.000466898,0.000466898
4,30.7245,0.65964,0.67683,1.74665,0.98602,0.94697,0.99336,0.8765,0.60987,0.50634,2.72774,0.0376238,0.000623763,0.000623763
5,33.1162,0.67397,0.63356,1.66369,0.99403,0.9697,0.99324,0.9009,0.48205,0.4742,1.68377,0.0217796,0.000779572,0.000779572
6,35.4985,0.66724,0.59151,1.77722,0.99865,0.97727,0.99477,0.90832,0.50641,0.45718,1.67297,0.00593432,0.000934325,0.000934325
7,37.7736,0.64517,0.58931,1.72241,0.99673,0.97727,0.99354,0.89769,0.49562,0.50797,1.72013,0.0009802,0.0009802,0.0009802
8,39.9565,0.58847,0.55565,1.70898,0.99805,0.97727,0.99435,0.88574,0.52481,0.50903,1.68833,0.0009769,0.0009769,0.0009769
9,42.0702,0.61174,0.5817,1.74498,0.9831,0.99242,0.9947,0.89777,0.51789,0.43892,1.56018,0.0009736,0.0009736,0.0009736
10,44.4036,0.60752,0.54223,1.6782,0.99945,0.99242,0.995,0.91757,0.49163,0.4037,1.65765,0.0009703,0.0009703,0.0009703
11,46.7822,0.52227,0.49539,1.61369,1,0.99129,0.995,0.95127,0.38772,0.37204,1.62903,0.000967,0.000967,0.000967
12,49.2023,0.49917,0.48297,1.70639,1,0.99885,0.995,0.94011,0.39693,0.3514,1.64693,0.0009637,0.0009637,0.0009637
13,51.5322,0.49556,0.48114,1.61847,1,0.99909,0.995,0.94146,0.45416,0.3644,1.8168,0.0009604,0.0009604,0.0009604
14,53.8808,0.5221,0.48553,1.60899,0.99239,0.99242,0.99485,0.94381,0.42864,0.35506,1.73814,0.0009571,0.0009571,0.0009571
15,56.1239,0.48195,0.4426,1.69443,1,0.99609,0.995,0.95229,0.39785,0.33388,1.68418,0.0009538,0.0009538,0.0009538
16,58.4187,0.48243,0.45804,1.62583,1,0.99233,0.995,0.9329,0.4314,0.34883,2.07229,0.0009505,0.0009505,0.0009505
17,60.7115,0.47875,0.43103,1.54144,1,0.99241,0.995,0.94605,0.4165,0.34429,1.75629,0.0009472,0.0009472,0.0009472
18,62.7596,0.49176,0.43148,1.69202,0.99241,0.99109,0.99492,0.95327,0.35381,0.30768,1.52601,0.0009439,0.0009439,0.0009439
19,65.0364,0.47523,0.43629,1.68991,0.99979,0.99242,0.995,0.94924,0.3968,0.32668,1.64299,0.0009406,0.0009406,0.0009406
20,67.3794,0.50516,0.44498,1.59863,1,0.99242,0.995,0.95136,0.38037,0.31001,1.56681,0.0009373,0.0009373,0.0009373
21,69.7485,0.45281,0.40483,1.64878,0.99242,0.99172,0.99477,0.9619,0.36042,0.3007,1.54542,0.000934,0.000934,0.000934
22,72.1399,0.44979,0.39667,1.67635,0.99242,0.99179,0.99477,0.94612,0.37571,0.29297,1.52067,0.0009307,0.0009307,0.0009307
23,74.4292,0.47152,0.40971,1.62198,0.99247,0.99905,0.99485,0.94835,0.36461,0.29163,1.5346,0.0009274,0.0009274,0.0009274
24,76.4073,0.4469,0.39841,1.64081,0.99248,0.99954,0.99477,0.93329,0.39045,0.30068,1.52787,0.0009241,0.0009241,0.0009241
25,78.4379,0.448,0.38499,1.61092,0.98505,0.99858,0.99485,0.94655,0.36091,0.28508,1.58173,0.0009208,0.0009208,0.0009208
26,80.462,0.45915,0.39423,1.64289,1,0.99237,0.995,0.94826,0.38479,0.29507,1.6181,0.0009175,0.0009175,0.0009175
27,82.6754,0.44516,0.37798,1.53612,0.99959,0.98485,0.99492,0.95441,0.35813,0.29918,1.60856,0.0009142,0.0009142,0.0009142
