epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1492,1.51858,2.56844,2.42226,0.68298,0.67424,0.72765,0.40527,0.92691,1.65301,2.44802,0.08515,0.00015,0.00015
2,24.9203,0.72719,0.98519,1.96454,0.56585,0.87879,0.776,0.59645,0.78457,2.01758,2.85594,0.069309,0.000308977,0.000308977
3,26.7998,0.60836,0.73508,1.93422,0.91567,0.90489,0.96678,0.82911,0.56549,1.33046,2.16486,0.0534669,0.000466898,0.000466898
4,28.6557,0.61486,0.64697,1.74717,0.99221,0.96552,0.99343,0.89718,0.48844,0.96742,2.03313,0.0376238,0.000623763,0.000623763
5,30.8109,0.55989,0.57787,1.71277,0.98094,0.97727,0.9922,0.92678,0.4313,0.47647,1.83927,0.0217796,0.000779572,0.000779572
6,32.945,0.54648,0.55865,1.72741,0.99569,0.97727,0.9929,0.91407,0.45702,0.46458,2.70096,0.00593432,0.000934325,0.000934325
7,35.0073,0.53362,0.53519,1.68153,0.99179,0.97727,0.99347,0.91231,0.44612,0.48092,1.97249,0.0009802,0.0009802,0.0009802
8,37.1088,0.51991,0.52353,1.66675,0.99241,0.99028,0.99485,0.9351,0.38256,0.44441,1.73985,0.0009769,0.0009769,0.0009769
9,39.3708,0.53561,0.52763,1.77015,0.99871,0.99242,0.995,0.93852,0.37421,0.43363,1.78147,0.0009736,0.0009736,0.0009736
10,41.5003,0.52015,0.49592,1.73293,0.99859,0.99242,0.995,0.93782,0.36939,0.39277,1.85453,0.0009703,0.0009703,0.0009703
11,43.6045,0.47398,0.47203,1.64879,0.98492,0.98979,0.99477,0.95059,0.3748,0.38582,1.87249,0.000967,0.000967,0.000967
12,45.8671,0.47798,0.46877,1.64828,0.9911,0.99242,0.99485,0.97078,0.33932,0.36471,1.80794,0.0009637,0.0009637,0.0009637
13,48.1057,0.4663,0.43759,1.68488,1,0.98271,0.99492,0.95311,0.38717,0.35561,1.80959,0.0009604,0.0009604,0.0009604
14,50.3064,0.48443,0.45345,1.64077,0.97746,0.98573,0.99377,0.92747,0.40286,0.36804,1.85047,0.0009571,0.0009571,0.0009571
15,52.6584,0.47384,0.43905,1.61428,0.99833,0.99242,0.995,0.93662,0.38813,0.34853,1.91509,0.0009538,0.0009538,0.0009538
16,54.8858,0.466,0.44055,1.61706,0.99941,0.99242,0.995,0.94572,0.37773,0.32929,1.8784,0.0009505,0.0009505,0.0009505
17,56.8175,0.43709,0.40786,1.56994,0.99129,0.99242,0.99492,0.95291,0.36691,0.32655,1.80424,0.0009472,0.0009472,0.0009472
