epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9976,1.63249,6.90574,0.69849,3.19155,1.75439,0.59269,0.10714,0.14823,0.11429,0.00501,0.03571,0.00093,0.00021,1.33087,4.98409,0.53409,9.35204,1.55635,0.08218,0.00018,0.00018
2,25.1633,0.60687,4.93945,0.60946,0.61523,0.9252,0.85954,0.67857,0.83198,0.62633,0.00188,0.01786,0.00104,0.00062,0.90482,5.05712,0.41377,0.78767,1.14974,0.0633688,0.000368779,0.000368779
3,27.2247,0.58993,3.97325,0.61527,0.51074,0.92323,1,0.92336,0.98731,0.87574,0.72169,0.66071,0.58994,0.21337,0.5175,3.15512,0.42426,0.436,0.82783,0.0445563,0.000556304,0.000556304
4,29.3423,0.5521,3.46279,0.60691,0.50732,0.9019,0.99679,1,0.995,0.90046,0.8267,0.82143,0.77585,0.34981,0.49946,2.8698,0.4482,0.42637,0.81273,0.0257426,0.000742575,0.000742575
5,31.4108,0.54841,2.90393,0.62382,0.48398,0.90323,0.99866,1,0.995,0.88757,0.99866,1,0.995,0.59811,0.51788,1.57802,0.47969,0.44274,0.82432,0.00692759,0.000927592,0.000927592
6,33.634,0.5052,2.81826,0.6235,0.44334,0.89018,0.99074,1,0.995,0.87375,0.97273,0.98214,0.9771,0.3597,0.57539,1.9176,0.59976,0.54929,0.88169,0.0009835,0.0009835,0.0009835
7,35.6673,0.51557,2.76408,0.59013,0.45896,0.88748,0.99901,1,0.995,0.89151,0.99901,1,0.995,0.57444,0.47615,1.13694,0.56201,0.5255,0.82798,0.0009802,0.0009802,0.0009802
8,37.7413,0.55082,2.44449,0.66282,0.44727,0.90934,0.98142,0.98214,0.99466,0.87288,0.98142,0.98214,0.99466,0.55262,0.54799,1.50492,0.61624,0.56921,0.85211,0.0009769,0.0009769,0.0009769
9,39.7934,0.54438,2.58287,0.66424,0.44693,0.91972,0.99674,1,0.995,0.92453,0.99674,1,0.995,0.74144,0.41485,0.83456,0.52629,0.53731,0.78459,0.0009736,0.0009736,0.0009736
10,41.8964,0.48713,1.95532,0.63103,0.4153,0.87486,0.99592,1,0.995,0.91873,0.99592,1,0.995,0.8296,0.43305,0.63554,0.42676,0.49197,0.78666,0.0009703,0.0009703,0.0009703
11,44.0256,0.49738,1.83118,0.62226,0.4138,0.88698,0.99787,1,0.995,0.90021,0.99787,1,0.995,0.72001,0.45132,0.80755,0.38643,0.3933,0.80431,0.000967,0.000967,0.000967
12,46.0998,0.52137,1.96101,0.64129,0.42124,0.91781,0.99821,1,0.995,0.90891,0.99821,1,0.995,0.69951,0.43323,0.74587,0.43265,0.36888,0.8006,0.0009637,0.0009637,0.0009637
13,48.1704,0.49359,2.08267,0.63266,0.41273,0.89708,0.99726,1,0.995,0.90088,0.99726,1,0.995,0.73596,0.51174,0.77589,0.3984,0.41113,0.81347,0.0009604,0.0009604,0.0009604
14,50.4819,0.46892,1.78746,0.60099,0.39857,0.87486,0.99426,1,0.995,0.91198,0.99426,1,0.995,0.71097,0.44904,0.77458,0.36119,0.45434,0.80645,0.0009571,0.0009571,0.0009571
15,52.8888,0.45629,1.74317,0.59942,0.39745,0.88659,0.99765,1,0.995,0.91913,0.97983,0.98214,0.97475,0.71946,0.41351,0.71174,0.36802,0.37732,0.79949,0.0009538,0.0009538,0.0009538
16,55.273,0.49216,1.83812,0.60426,0.41316,0.90051,0.99864,1,0.995,0.91889,0.99864,1,0.995,0.75064,0.38435,0.45147,0.37008,0.32006,0.79864,0.0009505,0.0009505,0.0009505
17,57.6385,0.4342,1.33421,0.57943,0.36539,0.86183,0.99873,1,0.995,0.91487,0.99873,1,0.995,0.75828,0.36438,0.51366,0.3571,0.30686,0.79686,0.0009472,0.0009472,0.0009472
18,59.8095,0.44864,1.45753,0.55741,0.38566,0.8839,0.99859,1,0.995,0.8947,0.99859,1,0.995,0.85737,0.41457,0.45814,0.34909,0.31855,0.804,0.0009439,0.0009439,0.0009439
19,61.9161,0.45157,1.34031,0.60968,0.38059,0.88386,0.99892,1,0.995,0.93636,0.99892,1,0.995,0.91908,0.37939,0.29441,0.32625,0.29756,0.78736,0.0009406,0.0009406,0.0009406
20,63.9837,0.45615,1.32887,0.59728,0.38459,0.87031,0.9989,1,0.995,0.93443,0.9989,1,0.995,0.94772,0.38551,0.27924,0.30983,0.27785,0.78313,0.0009373,0.0009373,0.0009373
21,65.9571,0.44038,1.14615,0.57138,0.35065,0.87847,0.99887,1,0.995,0.92289,0.99887,1,0.995,0.93967,0.36839,0.27098,0.31356,0.27634,0.78735,0.000934,0.000934,0.000934
22,68.0787,0.46915,1.48732,0.57156,0.37203,0.88372,0.99887,1,0.995,0.92192,0.99887,1,0.995,0.91173,0.35774,0.24323,0.31574,0.27468,0.78072,0.0009307,0.0009307,0.0009307
23,70.2919,0.46542,1.18524,0.57717,0.37698,0.88513,0.99871,1,0.995,0.94467,0.99871,1,0.995,0.93526,0.36096,0.22658,0.29848,0.28098,0.79066,0.0009274,0.0009274,0.0009274
24,72.4832,0.45054,1.0944,0.58149,0.39255,0.88922,0.99858,1,0.995,0.95564,0.99858,1,0.995,0.94309,0.34179,0.22502,0.29461,0.28779,0.79052,0.0009241,0.0009241,0.0009241
25,75.0912,0.40911,1.01251,0.55056,0.33852,0.86394,0.9989,1,0.995,0.93005,0.9989,1,0.995,0.96,0.35074,0.19639,0.28578,0.29295,0.77885,0.0009208,0.0009208,0.0009208
26,77.6201,0.4062,0.97182,0.55184,0.35849,0.86291,0.99884,1,0.995,0.92843,0.99884,1,0.995,0.97302,0.38742,0.19407,0.28357,0.31237,0.78717,0.0009175,0.0009175,0.0009175
27,80.17,0.42565,1.00567,0.58038,0.34709,0.87448,0.99862,1,0.995,0.94107,0.99862,1,0.995,0.95763,0.34569,0.17193,0.27887,0.3,0.77058,0.0009142,0.0009142,0.0009142
28,82.6749,0.41088,1.11086,0.55891,0.36803,0.86408,0.99809,1,0.995,0.93522,0.99809,1,0.995,0.97883,0.35389,0.18768,0.27434,0.42378,0.76989,0.0009109,0.0009109,0.0009109
29,85.2248,0.41318,0.97318,0.54949,0.35005,0.85718,0.99831,1,0.995,0.93619,0.99831,1,0.995,0.98224,0.34613,0.17667,0.27332,0.33432,0.76651,0.0009076,0.0009076,0.0009076
30,87.7325,0.38995,0.89541,0.60581,0.32633,0.85594,0.99851,1,0.995,0.93942,0.99851,1,0.995,0.97713,0.33398,0.18461,0.27241,0.30143,0.76114,0.0009043,0.0009043,0.0009043
31,90.3231,0.42336,0.86857,0.566,0.35146,0.87659,0.99886,1,0.995,0.91933,0.99886,1,0.995,0.96256,0.37462,0.19109,0.26904,0.25605,0.77014,0.000901,0.000901,0.000901
32,92.8449,0.40773,0.82504,0.52299,0.33304,0.8634,0.99891,1,0.995,0.93067,0.99891,1,0.995,0.974,0.3582,0.15932,0.26686,0.25346,0.76495,0.0008977,0.0008977,0.0008977
33,95.3913,0.39288,0.8593,0.53936,0.32027,0.85313,0.99896,1,0.995,0.94918,0.99896,1,0.995,0.97969,0.31696,0.16915,0.26984,0.25195,0.76191,0.0008944,0.0008944,0.0008944
